created_at,entry_id,field1,field2,field3,field4,field5,field6
2025-11-19T13:41:15+00:00,221,958,30,0.000000,0.000000,19-11-2025 19:11:14,1
2025-11-19T13:41:31+00:00,222,953,30,0.000000,0.000000,19-11-2025 19:11:30,1
2025-11-19T13:41:48+00:00,223,929,28,0.000000,0.000000,19-11-2025 19:11:47,1
2025-11-19T13:42:04+00:00,224,900,26,0.000000,0.000000,19-11-2025 19:12:03,1
2025-11-19T13:42:21+00:00,225,849,23,0.000000,0.000000,19-11-2025 19:12:20,1
2025-11-19T13:42:37+00:00,226,826,21,0.000000,0.000000,19-11-2025 19:12:36,1
2025-11-19T13:42:53+00:00,227,789,19,0.000000,0.000000,19-11-2025 19:12:52,1
2025-11-19T13:43:10+00:00,228,765,17,0.000000,0.000000,19-11-2025 19:13:09,1
2025-11-19T13:43:27+00:00,229,747,16,0.000000,0.000000,19-11-2025 19:13:26,1
2025-11-19T13:43:43+00:00,230,730,15,0.000000,0.000000,19-11-2025 19:13:42,1
2025-11-19T13:43:59+00:00,231,720,14,0.000000,0.000000,19-11-2025 19:13:59,1
2025-11-19T13:44:16+00:00,232,705,13,0.000000,0.000000,19-11-2025 19:14:15,1
2025-11-19T13:44:33+00:00,233,701,13,0.000000,0.000000,19-11-2025 19:14:32,1
2025-11-19T13:44:50+00:00,234,687,12,0.000000,0.000000,19-11-2025 19:14:49,1
2025-11-19T13:45:06+00:00,235,685,12,0.000000,0.000000,19-11-2025 19:15:06,1
2025-11-19T13:45:23+00:00,236,683,12,0.000000,0.000000,19-11-2025 19:15:22,1
2025-11-19T13:45:40+00:00,237,672,11,0.000000,0.000000,19-11-2025 19:15:39,1
2025-11-19T13:45:56+00:00,238,661,10,0.000000,0.000000,19-11-2025 19:15:55,1
2025-11-19T13:46:13+00:00,239,656,10,0.000000,0.000000,19-11-2025 19:16:12,1
2025-11-19T13:46:30+00:00,240,656,10,0.000000,0.000000,19-11-2025 19:16:29,1
2025-11-19T13:46:46+00:00,241,656,10,0.000000,0.000000,19-11-2025 19:16:45,1
2025-11-19T13:47:05+00:00,242,646,9,0.000000,0.000000,19-11-2025 19:17:02,1
2025-11-19T13:47:21+00:00,243,642,9,0.000000,0.000000,19-11-2025 19:17:20,1
